"user_id","country_code"
"781684048413","ID"
"781684048414","ID"
"781684048415","ID"
"781684048416","ID"
"781684048417","PH"
"781684048418","ID"
"781684048419","ID"
"781684048420","ID"
"781684048421","ID"
"781684048422","MY"
"781684048423","ID"
"781684048424","ID"
"781684048425","ID"
"781684048426","ID"
"781684048427","ID"
"781684048428","MY"
"781684048429","ID"
"781684048430","ID"
"781684048431","ID"
"781684048432","ID"
"781684048433","PH"
"781684048434","MY"
"781684048435","ID"
"781684048436","NP"
"781684048437","ID"
"781684048438","ID"
"781684048439","NP"
"781684048440","MY"
"781684048441","MY"
"781684048442","ID"
"781684048443","ID"
"781684048444","ID"
"781684048445","ID"
"781684048446","PH"
"781684048447","ID"
"781684048448","MY"
"781684048449","NP"
"781684048450","ID"
"781684048451","ID"
"781684048452","MY"
"781684048453","VN"
"781684048454","ID"
"781684048455","ID"
"781684048456","ID"
"0","MY"
"1","ID"
"2","ID"
"3","ID"
"4","ID"
"5","ID"
"6","ID"
"7","PH"
"8","MY"
"9","ID"
"10","ID"
"11","TH"
"12","PK"
"13","ID"
"14","ID"
"15","PH"
"16","PH"
"17","ID"
"18","ID"
"19","PH"
"20","ID"
"21","PH"
"22","ID"
"23","ID"
"24","MY"
"25","TH"
"26","ID"
"27","MY"
"28","MY"
"29","PH"
"30","ID"
"31","MY"
"32","ID"
"33","ID"
"34","ID"
"35","ID"
"36","ID"
"37","ID"
"38","ID"
"39","ID"
"40","ID"
"41","ID"
"42","ID"
"43","MY"
"44","ID"
"45","ID"
"46","ID"
"47","ID"
"48","MY"
"49","BD"
"50","ID"
"51","PH"
"52","ID"
"53","ID"
"54","ID"
"55","ID"
"56","MY"
"57","MY"
"58","ID"
"59","ID"
"60","ID"
"61","MY"
"62","ID"
"63","PH"
"64","ID"
"65","MY"
"66","ID"
"67","ID"
"68","ID"
"69","ID"
"70","ID"
"71","ID"
"72","NP"
"73","ID"
"74","NP"
"75","NP"
"76","PH"
"77","ID"
"78","MY"
"79","ID"
"80","ID"
"81","ID"
"82","ID"
"83","BD"
"84","PK"
"85","ID"
"86","ID"
"87","ID"
"88","PH"
"89","PH"
"90","MY"
"91","ID"
"92","MY"
"93","PH"
"94","ID"
"95","PH"
"96","PH"
"97","NP"
"98","ID"
"99","TH"
"100","ID"
"101","NP"
"102","MY"
"103","NP"
"104","ID"
"105","ID"
"106","ID"
"107","PH"
"108","ID"
"109","PH"
"110","MY"
"111","MY"
"112","MY"
"113","PH"
"114","ID"
"115","ID"
"116","ID"
"117","ID"
"118","TH"
"119","MY"
